,player,nation,pos,squad,comp,age,mp,starts,min,90s,gls,ast,g&a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg&xag,prgc,prgp,prgr,gls,ast,g&a,g_pk,g&a_pk,xg,xag,xg&xag,npxg,npxg&xag,agg_pos
33,Felix Agu,GER,"DF,FW",Werder Bremen, Bundesliga,22,3.0,0.0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.22,0.07,0.22,DF
34,Alvaro Aguado,ESP,MF,Valladolid, La Liga,26,34.0,18.0,1888.0,21.0,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.2,3.2,29.0,139.0,50.0,0.05,0.1,0.14,0.05,0.14,0.05,0.11,0.15,0.05,0.15,MF
35,Kevin Agudelo,COL,"MF,FW",Spezia, Serie A,23,34.0,23.0,2131.0,23.7,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.5,1.5,3.0,4.5,81.0,110.0,100.0,0.0,0.04,0.04,0.0,0.04,0.06,0.13,0.19,0.06,0.19,MF
36,Nayef Aguerd,MAR,DF,West Ham, Premier League,26,18.0,17.0,1595.0,17.7,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.2,2.2,0.5,2.7,2.0,25.0,4.0,0.11,0.0,0.11,0.11,0.11,0.13,0.03,0.15,0.13,0.15,DF
37,Ruben Aguilar,FRA,DF,Monaco, Ligue 1,29,20.0,14.0,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.9,1.1,29.0,102.0,78.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,DF
38,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace, Premier League,20,8.0,0.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.2,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.15,0.07,0.22,0.15,0.22,MF
39,Naouirou Ahamada,FRA,MF,Stuttgart, Bundesliga,20,17.0,17.0,1398.0,15.5,2.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,0.8,0.8,1.2,2.1,43.0,56.0,54.0,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13,MF
40,Amar Ahmed,SWE,FW,Troyes, Ligue 1,18,1.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW
41,Jean-Eudes Aholou,CIV,MF,Strasbourg, Ligue 1,28,30.0,16.0,1300.0,14.4,3.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0,1.2,1.2,0.9,2.1,25.0,50.0,37.0,0.21,0.07,0.28,0.21,0.28,0.08,0.07,0.15,0.08,0.15,MF
42,Joseph Aidoo,GHA,DF,Celta Vigo, La Liga,26,35.0,35.0,3119.0,34.7,3.0,0.0,3.0,3.0,0.0,0.0,6.0,1.0,1.0,1.0,0.1,1.1,15.0,95.0,2.0,0.09,0.0,0.09,0.09,0.09,0.03,0.0,0.03,0.03,0.03,DF
43,Ola Aina,NGA,DF,Torino, Serie A,25,19.0,9.0,876.0,9.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,2.1,2.9,35.0,43.0,43.0,0.1,0.1,0.21,0.1,0.21,0.08,0.21,0.29,0.08,0.29,DF
44,Rayan Ait-Nouri,ALG,DF,Wolves, Premier League,21,21.0,9.0,1076.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,1.0,1.7,30.0,43.0,76.0,0.08,0.0,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14,DF
45,Emanuel Aiwum,AUT,DF,Cremonese, Serie A,21,23.0,17.0,1653.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.4,0.6,19.0,46.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,DF
46,Kristoffer Ajer,NOR,DF,Brentford, Premier League,24,9.0,9.0,763.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10.0,31.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,DF
47,Ludovic Ajorque,FRA,FW,Strasbourg, Ligue 1,28,13.0,9.0,771.0,8.6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.4,2.6,0.9,3.5,2.0,13.0,55.0,0.12,0.0,0.12,0.0,0.0,0.39,0.1,0.5,0.3,0.4,FW
48,Ludovic Ajorque,FRA,"FW,MF",Mainz 05, Bundesliga,28,17.0,15.0,1211.0,13.5,6.0,1.0,7.0,6.0,0.0,0.0,5.0,0.0,4.6,4.6,1.7,6.4,5.0,31.0,85.0,0.45,0.07,0.52,0.45,0.52,0.34,0.13,0.47,0.34,0.47,FW
49,Manuel Akanji,SUI,DF,Manchester City, Premier League,27,29.0,24.0,2287.0,25.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,0.4,1.7,24.0,116.0,17.0,0.0,0.04,0.04,0.0,0.04,0.05,0.02,0.07,0.05,0.07,DF
